#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
  7.2b    38.665    22.167    44.569       nan       nan    11.620     0.001      2.66  -36197.2  -12492.7    ++
  7.2a   -26.327    17.010    31.344       nan       nan     4.493     0.000      1.63  -22700.0    1004.5    +-
  7.2a    -5.467   -47.205    47.520       nan       nan    16.635     0.005      3.05  -39216.3  -15511.8    ++
  7.2a    -0.815     0.989     1.281       nan       nan     0.161     0.000     -1.98  -13642.3   10062.2    --
  7.2a    38.197   -12.366    40.149       nan       nan    15.963     0.011      3.01  -35535.4  -11831.0    +-
  7.2a    38.937    21.875    44.661       nan       nan    11.499     0.001      2.65  -36420.9  -12716.4    ++
   6.3   -13.555    10.073    16.888       nan       nan     3.138     0.000      1.24   -9934.1       0.0    +-
   6.3    -5.121     4.109     6.565       nan       nan     0.839     0.000     -0.19   -9506.9     427.1    --
   6.3    28.237   -43.092    51.520       nan       nan     7.798     0.032      2.23  -53142.5  -43208.5    ++
   6.2   -12.106     9.412    15.335       nan       nan     3.519     0.000      1.37   -9174.1     759.9    +-
   6.2    -5.844     4.838     7.587       nan       nan     1.346     0.000      0.32   -8993.2     940.8    --
   6.2    28.149   -43.982    52.219       nan       nan     7.188     0.029      2.14  -54351.0  -44416.9    ++
   6.1   -13.495     9.892    16.732       nan       nan     3.170     0.000      1.25   -9864.9      69.2    +-
   6.1    -5.217     4.115     6.645       nan       nan     0.870     0.000     -0.15   -9466.2     467.9    --
   6.1    28.859   -42.606    51.460       nan       nan     7.864     0.035      2.24  -53164.7  -43230.7    ++
  12.2   -16.551   -55.958    58.355       nan       nan     4.187     0.000      1.55  -55003.5       0.0    ++
  12.2   -14.099    28.579    31.867       nan       nan     8.365     0.000      2.31  -18767.3   36236.2    +-
  12.2    -0.001     3.016     3.016       nan       nan     0.159     0.000     -1.99  -11931.0   43072.5    --
  12.1   -17.551   -55.436    58.148       nan       nan     4.210     0.000      1.56  -54455.8     547.7    ++
  12.1   -14.295    29.268    32.572       nan       nan     8.782     0.000      2.36  -19491.2   35512.3    +-
  12.1     0.109     2.877     2.879       nan       nan     0.147     0.000     -2.08  -12082.8   42920.7    --
   D4b   -17.296    10.964    20.479       nan       nan     3.139     0.000      1.24  -11359.8       0.0    +-
   D4b    -4.391     2.954     5.293       nan       nan     0.414     0.000     -0.96  -10138.0    1221.8    --
   D4b    32.253   -40.874    52.067       nan       nan    30.378    67.659      3.71  -53316.0  -41956.2    ++
   D4b    32.454   -40.652    52.017       nan       nan    45.784   173.884      4.15  -53316.2  -41956.4    +-
   D4b    33.376   -39.821    51.959       nan       nan    11.311     1.456      2.63  -53317.4  -41957.5    ++
   D4a   -17.284    10.959    20.466       nan       nan     3.138     0.000      1.24  -11351.3       8.5    +-
   D4a    -4.395     2.958     5.298       nan       nan     0.415     0.000     -0.96  -10133.6    1226.2    --
   D4a    32.249   -40.889    52.076       nan       nan    26.129    30.056      3.54  -53328.1  -41968.3    ++
   D4a    32.466   -40.648    52.022       nan       nan    31.472    51.943      3.74  -53328.3  -41968.4    +-
   D4a    33.382   -39.825    51.965       nan       nan    11.244     1.448      2.63  -53329.2  -41969.4    ++
   D3b   -17.310    11.019    20.520       nan       nan     3.143     0.000      1.24  -11386.2       0.0    +-
   D3b    -4.372     2.956     5.277       nan       nan     0.411     0.000     -0.97  -10150.7    1235.6    --
   D3b    31.964   -41.166    52.118       nan       nan    10.571     1.382      2.56  -53303.2  -41916.9    ++
   D3b    32.800   -40.298    51.960       nan       nan    29.705    26.839      3.68  -53301.9  -41915.7    +-
   D3b    33.017   -40.115    51.955       nan       nan    74.470   336.389      4.68  -53301.9  -41915.6    ++
   D3a   -17.336    11.029    20.547       nan       nan     3.146     0.000      1.24  -11404.4     -18.2    +-
   D3a    -4.363     2.948     5.266       nan       nan     0.409     0.000     -0.97  -10160.0    1226.2    --
   D3a    31.964   -41.145    52.102       nan       nan    10.799     1.446      2.58  -53277.5  -41891.3    ++
   D3a    32.785   -40.293    51.946       nan       nan    30.800    29.914      3.72  -53276.4  -41890.1    +-
   D3a    33.009   -40.104    51.941       nan       nan    61.830   167.805      4.48  -53276.3  -41890.1    ++
   D2c   -17.204    10.946    20.391       nan       nan     3.129     0.000      1.24  -11300.4       0.0    +-
   D2c    -4.417     2.985     5.331       nan       nan     0.421     0.000     -0.94  -10107.0    1193.4    --
   D2c    32.119   -41.094    52.157       nan       nan    11.654     2.193      2.67  -53407.8  -42107.4    ++
   D2c    32.639   -40.524    52.034       nan       nan    10.549     4.434      2.56  -53407.6  -42107.2    +-
   D2c    33.309   -39.946    52.012       nan       nan    12.065     2.064      2.70  -53408.0  -42107.6    ++
   D2b   -17.172    10.930    20.356       nan       nan     3.125     0.000      1.24  -11277.0      23.4    +-
   D2b    -4.428     2.995     5.346       nan       nan     0.424     0.000     -0.93  -10094.9    1205.5    --
   D2b    32.138   -41.100    52.173       nan       nan    11.589     2.246      2.66  -53438.7  -42138.3    ++
   D2b    32.639   -40.547    52.052       nan       nan     9.910     4.107      2.49  -53438.3  -42137.9    +-
   D2b    33.342   -39.941    52.029       nan       nan    11.532     1.871      2.65  -53439.1  -42138.7    ++
   D2a   -17.280    10.976    20.472       nan       nan     3.138     0.000      1.24  -11354.7     -54.3    +-
   D2a    -4.391     2.961     5.296       nan       nan     0.414     0.000     -0.96  -10135.0    1165.4    --
   D2a    32.119   -41.031    52.107       nan       nan    13.039     2.706      2.79  -53332.1  -42031.7    ++
   D2a    32.592   -40.515    51.997       nan       nan    13.108     5.865      2.79  -53332.0  -42031.6    +-
   D2a    33.279   -39.917    51.970       nan       nan    12.610     2.131      2.75  -53332.5  -42032.1    ++
   D1b   -17.414    10.825    20.505       nan       nan     3.145     0.000      1.24  -11383.0       0.0    +-
   D1b    -4.408     2.898     5.275       nan       nan     0.409     0.000     -0.97  -10153.2    1229.7    --
   D1b    34.211   -38.966    51.853       nan       nan    10.877     0.237      2.59  -53210.2  -41827.2    ++
   D1a   -16.397    10.433    19.434       nan       nan     3.050     0.000      1.21  -10685.1     697.8    +-
   D1a    -4.768     3.224     5.756       nan       nan     0.509     0.000     -0.73   -9780.7    1602.2    --
   D1a    34.342   -39.594    52.412       nan       nan     9.352     0.341      2.43  -54194.1  -42811.1    ++
  13.2   -32.639    13.242    35.222       nan       nan     5.254     0.000      1.80  -25925.1       0.0    +-
  13.2    -9.646   -48.157    49.114       nan       nan     9.462     0.001      2.44  -38248.3  -12323.2    ++
  13.2    -0.756     0.283     0.807       nan       nan     0.133     0.000     -2.19  -13846.6   12078.5    --
  13.2    34.345   -22.985    41.327       nan       nan     7.716     0.004      2.22  -35900.5   -9975.4    +-
  13.2    35.900    35.657    50.599       nan       nan     6.738     0.000      2.07  -41938.4  -16013.3    ++
  13.1   -32.810    13.124    35.337       nan       nan     5.281     0.000      1.81  -26071.9    -146.8    +-
  13.1   -10.147   -48.031    49.091       nan       nan     9.547     0.001      2.45  -38119.3  -12194.2    ++
  13.1    -0.734     0.258     0.778       nan       nan     0.132     0.000     -2.19  -13855.3   12069.8    --
  13.1    34.153   -23.090    41.226       nan       nan     7.904     0.004      2.24  -35726.9   -9801.8    +-
  13.1    35.571    36.035    50.634       nan       nan     6.680     0.000      2.06  -41961.0  -16035.9    ++
